flag	grade	evidence	checked	declared_in
--push	ok		2026-09-04	scripts/wandb_sync.py
--push-meta	ok		2026-09-04	scripts/wandb_sync.py
--q-heads	ok		2026-09-04	scripts/diag_sdpa_backends.py
--quiet	ok		2026-09-04	scripts/check_batch_name.py,scripts/check_index_sync.py,scripts/check_plan_numbers.py,scripts/check_static_all.py,scripts/check_tag_arch.py
--real	ok		2026-09-04	scripts/diag_kd_loss.py
--record	ok		2026-09-04	scripts/registry.py
--render	ok		2026-09-04	scripts/registry.py
--repeat-block	ok		2026-09-04	tinylm/cli.py
--repeat-kv-reuse	rejected	결과 062 - 대가 +0.0591~+0.0928 = 재귀 이득의 5.4~5.7배. 엔트리 축은 닫혔다	2026-09-04	scripts/mem_runtime.py,scripts/paired_eval.py,tinylm/cli.py
--repeat-mode	exp	P043 - inplace 는 추론 --repeat-where even 의 학습 짝	2026-09-04	tinylm/cli.py
--repeat-where	ok		2026-09-04	scripts/bench_infer.py,scripts/paired_eval.py,tinylm/cli.py
--repeats	ok		2026-09-04	scripts/diag_train_repeat.py
--report-every	ok		2026-09-04	scripts/diag_spam_rate.py
--report-greedy	ok		2026-09-04	scripts/diag_kvcache.py
--reps	ok		2026-09-04	scripts/bench_infer.py
--resume	ok		2026-09-04	tinylm/cli.py
--reuse-attn-on-dup	rejected	결과 041 §17.4 - 재귀 이득 -0.0203 을 전부 잃고 +0.0079 더 나빴다	2026-09-04	scripts/paired_eval.py,tinylm/cli.py
--rows	ok		2026-09-04	scripts/diag_kd_loss.py
--sample	ok		2026-09-04	scripts/diag_bench_overlap.py,scripts/diag_val_lang.py
--save-every	ok		2026-09-04	tinylm/cli.py
--scan	ok		2026-09-04	scripts/registry.py
--sched	ok		2026-09-04	tinylm/cli.py
--sdpa-gqa	rejected	CLAUDE.md 3.6 - VRAM +27%, 시간 +96%	2026-09-04	tinylm/cli.py
--seed	ok		2026-09-04	scripts/diag_layer_map.py,scripts/diag_lut_kernel.py,scripts/eval_bench_suite.py,scripts/eval_korean_bench.py,scripts/eval_slices.py,tinylm/cli.py
